"","title","code","genre","country","runtime","release","director","actor","view_class","audience_age_10","audience_age_20","audience_age_30","audience_age_40","audience_age_50","netizen_score","netizen_count","ntz_male","ntz_female","ntz_10","ntz_20","ntz_30","ntz_40","ntz_50","audience_score","audience_count","audience_male","audience_female","audience_10","audience_20","audience_30","audience_40","audience_50"
"1","밥정","186114","다큐멘터리, 드라마","한국","82분 "," 2020.10.07 개봉","박혜령","임지호(본인)","[국내] 전체 관람가","5%","35%","25%","15%","20%","9.61","358","9.41","9.88","7.00","9.74","9.29","9.92","9.58","9.70","20","9.75","9.69","10.0","9.43","9.80","10.0","9.75"
"2","그린 북","171539","드라마","미국","130분 "," 2019.01.09 개봉","피터 패럴리","비고 모텐슨(토니 발레롱가), 마허샬라 알리(돈 셜리 박사)","[국내] 12세 관람가 [해외] PG-13","0%","30%","29%","17%","23%","9.60","7,574","9.51","9.79","9.69","9.64","9.66","9.61","9.45","9.55","2,071","9.52","9.57","9.60","9.50","9.58","9.53","9.58"
"3","가버나움","174830","드라마","레바논, 프랑스","126분 "," 2019.01.24 개봉","나딘 라바키","자인 알 라피아(자인), 요르다노스 시프로우(라힐)","[국내] 15세 관람가 [해외] R","2%","37%","29%","15%","17%","9.60","3,436","9.29","9.86","9.79","9.66","9.67","9.64","9.54","9.54","1,393","9.39","9.61","9.64","9.56","9.51","9.58","9.49"
"4","디지몬 어드벤처 라스트 에볼루션 : 인연","192613","애니메이션, 모험","일본","114분 "," 2021.02.17 개봉","타구치 토모히사","하나에 나츠키(야가미 타이치), 호소야 요시마사(이시다 야마토), 사카모토 치카(아구몬)","[국내] 12세 관람가",NA,NA,NA,NA,NA,"9.55","848","9.45","9.88","7.80","9.79","8.81","5.70","9.31",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","원더","151196","드라마","미국","113분 ","2021.02.11 재개봉,  2017.12.27 개봉","스티븐 크보스키","제이콥 트렘블레이(어기 풀먼), 줄리아 로버츠(이자벨 풀먼), 오웬 윌슨(네이트 풀먼)","[국내] 전체 관람가 [해외] PG","2%","34%","27%","29%","8%","9.53","3,787","9.22","9.81","9.64","9.62","9.57","9.44","9.30","9.43","319","9.37","9.46","10.0","9.45","9.47","9.32","9.56"
"6","베일리 어게인","144906","모험, 코미디, 드라마","미국","100분 "," 2018.11.22 개봉","라세 할스트롬","조시 게드(베일리/ 엘리/ 티노/ 버디 목소리), 데니스 퀘이드(이든), K.J. 아파(십대 이든)","[국내] 전체 관람가 [해외] PG","3%","48%","23%","19%","7%","9.53","2,492","9.20","9.79","9.72","9.65","9.53","9.44","9.34","9.42","463","9.36","9.44","9.71","9.52","9.36","9.14","9.58"
"7","아일라","169240","드라마, 전쟁","한국, 터키","123분 "," 2018.06.21 개봉","잔 울카이","김설(아일라), 이스마일 하지오글루(슐레이만)","[국내] 15세 관람가","0%","47%","27%","17%","9%","9.52","2,144","9.29","9.80","9.70","9.56","9.57","9.49","9.45","9.13","70","8.81","9.32","0.00","9.45","8.74","9.33","8.17"
"8","극장판 바이올렛 에버가든","196843","애니메이션, 드라마, 판타지","일본","140분 "," 2020.11.12 개봉","이시다테 타이치","이시카와 유이(바이올렛 에버가든 목소리), 나미카와 다이스케(길베르트 부겐빌리아 목소리)","[국내] 전체 관람가","17%","56%","17%","8%","2%","9.51","1,216","9.32","9.62","9.68","9.31","9.21","9.21","9.46","9.68","436","9.69","9.67","9.95","9.66","9.62","9.42","9.86"
"9","당갈","157243","드라마, 액션","인도","161분 "," 2018.04.25 개봉","니테쉬 티와리","아미르 칸(마하비르 싱 포갓), 파티마 사나 셰이크(기타), 산야 말호트라(바비타)","[국내] 12세 관람가","6%","61%","18%","8%","7%","9.49","2,416","9.08","9.85","9.44","9.62","9.43","9.42","9.41","9.62","306","9.26","9.73","9.65","9.79","9.50","8.85","9.38"
"10","먼 훗날 우리","175092","드라마, 멜로/로맨스","중국","120분 ",NA,"유약영","정백연, 주동우, 톈좡좡",NA,NA,NA,NA,NA,NA,"9.50","1,183","9.22","9.69","9.66","9.71","9.28","9.34","9.35",NA,NA,NA,NA,NA,NA,NA,NA,NA
